numero,filename,class,origin,source_file,row_idx
1,0001.txt,non-phishing,ai,A_L_kaggle.csv,660
2,0002.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3715
3,0003.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5947
4,0004.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6277
5,0005.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,8
6,0006.txt,phishing,manuale,M_P_L_Nigerian_5.csv,4814
7,0007.txt,non-phishing,ai,A_L_kaggle.csv,709
8,0008.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,60
9,0009.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6081
10,0010.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,973
11,0011.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2684
12,0012.txt,non-phishing,ai,A_L_kaggle.csv,834
13,0013.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1659
14,0014.txt,non-phishing,ai,A_L_kaggle.csv,364
15,0015.txt,phishing,manuale,M_P_Nazario.csv,247
16,0016.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5815
17,0017.txt,non-phishing,ai,A_L_kaggle.csv,391
18,0018.txt,phishing,manuale,M_P_Nazario.csv,1258
19,0019.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2730
20,0020.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,459
21,0021.txt,non-phishing,ai,A_L_kaggle.csv,238
22,0022.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5201
23,0023.txt,non-phishing,ai,A_L_kaggle.csv,864
24,0024.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5671
25,0025.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6103
26,0026.txt,non-phishing,ai,A_L_kaggle.csv,796
27,0027.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,425
28,0028.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6168
29,0029.txt,non-phishing,ai,A_L_kaggle.csv,714
30,0030.txt,phishing,ai,A_P_synthetic_phish.csv,2983
31,0031.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3288
32,0032.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1435
33,0033.txt,phishing,ai,A_P_synthetic_phish.csv,355
34,0034.txt,phishing,manuale,M_P_Nazario.csv,555
35,0035.txt,non-phishing,ai,A_L_kaggle.csv,969
36,0036.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,309
37,0037.txt,phishing,manuale,M_P_Nazario.csv,435
38,0038.txt,phishing,manuale,M_P_L_Nigerian_5.csv,1858
39,0039.txt,phishing,ai,A_P_synthetic_phish.csv,657
40,0040.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2189
41,0041.txt,phishing,manuale,M_P_Nazario.csv,349
42,0042.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2387
43,0043.txt,phishing,ai,A_P_synthetic_phish.csv,3750
44,0044.txt,non-phishing,ai,A_L_kaggle.csv,32
45,0045.txt,phishing,ai,A_P_synthetic_phish.csv,3156
46,0046.txt,phishing,ai,A_P_synthetic_phish.csv,778
47,0047.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5215
48,0048.txt,non-phishing,ai,A_L_kaggle.csv,633
49,0049.txt,phishing,manuale,M_P_Nazario.csv,172
50,0050.txt,phishing,ai,A_P_synthetic_phish.csv,850
51,0051.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,281
52,0052.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1605
53,0053.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,329
54,0054.txt,phishing,manuale,M_P_Nazario.csv,1324
55,0055.txt,phishing,manuale,M_P_Nazario.csv,1234
56,0056.txt,phishing,manuale,M_P_Nazario.csv,81
57,0057.txt,phishing,ai,A_P_synthetic_phish.csv,1306
58,0058.txt,non-phishing,ai,A_L_kaggle.csv,696
59,0059.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5397
60,0060.txt,non-phishing,ai,A_L_kaggle.csv,851
61,0061.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3132
62,0062.txt,non-phishing,ai,A_L_kaggle.csv,873
63,0063.txt,phishing,ai,A_P_synthetic_phish.csv,1907
64,0064.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5730
65,0065.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2324
66,0066.txt,phishing,manuale,M_P_L_Nigerian_5.csv,4238
67,0067.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5479
68,0068.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6049
69,0069.txt,phishing,manuale,M_P_L_Nigerian_5.csv,5111
70,0070.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5327
71,0071.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2613
72,0072.txt,phishing,ai,A_P_synthetic_phish.csv,260
73,0073.txt,phishing,manuale,M_P_Nazario.csv,478
74,0074.txt,non-phishing,ai,A_L_kaggle.csv,885
75,0075.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2247
76,0076.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,298
77,0077.txt,non-phishing,ai,A_L_kaggle.csv,957
78,0078.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1174
79,0079.txt,non-phishing,ai,A_L_kaggle.csv,756
80,0080.txt,phishing,ai,A_P_synthetic_phish.csv,1991
81,0081.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1740
82,0082.txt,phishing,manuale,M_P_Nazario.csv,307
83,0083.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,301
84,0084.txt,phishing,manuale,M_P_Nazario.csv,614
85,0085.txt,non-phishing,ai,A_L_kaggle.csv,483
86,0086.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5147
87,0087.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5614
88,0088.txt,phishing,manuale,M_P_L_Nigerian_5.csv,4806
89,0089.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3822
90,0090.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2424
91,0091.txt,non-phishing,ai,A_L_kaggle.csv,175
92,0092.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5410
93,0093.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5935
94,0094.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3582
95,0095.txt,phishing,manuale,M_P_Nazario.csv,394
96,0096.txt,phishing,ai,A_P_synthetic_phish.csv,769
97,0097.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,439
98,0098.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1033
99,0099.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3384
100,0100.txt,phishing,ai,A_P_synthetic_phish.csv,2398
101,0101.txt,phishing,manuale,M_P_Nazario.csv,10
102,0102.txt,phishing,ai,A_P_synthetic_phish.csv,2106
103,0103.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6330
104,0104.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3805
105,0105.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6191
106,0106.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2278
107,0107.txt,phishing,ai,A_P_synthetic_phish.csv,3773
108,0108.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,612
109,0109.txt,phishing,ai,A_P_synthetic_phish.csv,2946
110,0110.txt,phishing,ai,A_P_synthetic_phish.csv,1630
111,0111.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2871
112,0112.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,968
113,0113.txt,non-phishing,ai,A_L_kaggle.csv,323
114,0114.txt,phishing,ai,A_P_synthetic_phish.csv,2374
115,0115.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5418
116,0116.txt,phishing,ai,A_P_synthetic_phish.csv,244
117,0117.txt,phishing,manuale,M_P_L_Nigerian_5.csv,4743
118,0118.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6055
119,0119.txt,non-phishing,ai,A_L_kaggle.csv,103
120,0120.txt,phishing,manuale,M_P_Nazario.csv,1087
121,0121.txt,non-phishing,ai,A_L_kaggle.csv,415
122,0122.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5728
123,0123.txt,phishing,ai,A_P_synthetic_phish.csv,2510
124,0124.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2286
125,0125.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6271
126,0126.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,636
127,0127.txt,phishing,ai,A_P_synthetic_phish.csv,649
128,0128.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2300
129,0129.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1173
130,0130.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5408
131,0131.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1290
132,0132.txt,phishing,manuale,M_P_Nazario.csv,595
133,0133.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3394
134,0134.txt,phishing,ai,A_P_synthetic_phish.csv,375
135,0135.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6009
136,0136.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2618
137,0137.txt,phishing,manuale,M_P_Nazario.csv,1446
138,0138.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5597
139,0139.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2903
140,0140.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5653
141,0141.txt,phishing,ai,A_P_synthetic_phish.csv,852
142,0142.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1160
143,0143.txt,phishing,ai,A_P_synthetic_phish.csv,803
144,0144.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2849
145,0145.txt,phishing,ai,A_P_synthetic_phish.csv,2545
146,0146.txt,phishing,manuale,M_P_Nazario.csv,811
147,0147.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,781
148,0148.txt,phishing,manuale,M_P_Nazario.csv,724
149,0149.txt,phishing,ai,A_P_synthetic_phish.csv,720
150,0150.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5773
151,0151.txt,phishing,manuale,M_P_Nazario.csv,1141
152,0152.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3862
153,0153.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5290
154,0154.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3632
155,0155.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1221
156,0156.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,233
157,0157.txt,phishing,manuale,M_P_L_Nigerian_5.csv,4623
158,0158.txt,phishing,manuale,M_P_Nazario.csv,1123
159,0159.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,336
160,0160.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6219
161,0161.txt,non-phishing,ai,A_L_kaggle.csv,167
162,0162.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1086
163,0163.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5552
164,0164.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2553
165,0165.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1292
166,0166.txt,phishing,manuale,M_P_Nazario.csv,822
167,0167.txt,phishing,ai,A_P_synthetic_phish.csv,1170
168,0168.txt,phishing,manuale,M_P_Nazario.csv,882
169,0169.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,38
170,0170.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5936
171,0171.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1139
172,0172.txt,phishing,ai,A_P_synthetic_phish.csv,217
173,0173.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,982
174,0174.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2954
175,0175.txt,phishing,manuale,M_P_Nazario.csv,963
176,0176.txt,non-phishing,ai,A_L_kaggle.csv,224
177,0177.txt,phishing,manuale,M_P_L_Nigerian_5.csv,5084
178,0178.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2992
179,0179.txt,phishing,ai,A_P_synthetic_phish.csv,1687
180,0180.txt,non-phishing,ai,A_L_kaggle.csv,392
181,0181.txt,phishing,manuale,M_P_Nazario.csv,182
182,0182.txt,phishing,ai,A_P_synthetic_phish.csv,1041
183,0183.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3175
184,0184.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,410
185,0185.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1627
186,0186.txt,phishing,ai,A_P_synthetic_phish.csv,4933
187,0187.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6089
188,0188.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1077
189,0189.txt,phishing,manuale,M_P_L_Nigerian_5.csv,4018
190,0190.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,209
191,0191.txt,non-phishing,ai,A_L_kaggle.csv,711
192,0192.txt,non-phishing,ai,A_L_kaggle.csv,673
193,0193.txt,non-phishing,ai,A_L_kaggle.csv,166
194,0194.txt,non-phishing,ai,A_L_kaggle.csv,556
195,0195.txt,phishing,manuale,M_P_Nazario.csv,1143
196,0196.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5882
197,0197.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3985
198,0198.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1670
199,0199.txt,non-phishing,ai,A_L_kaggle.csv,380
200,0200.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5874
201,0201.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,683
202,0202.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5540
