group,n_emails,category,presence_rate_pct,mean_hit_count,hit_share_pct,top_by_presence,top_by_mean_hits
phishing,300,cta_action,"64,33","3,34","35,19",,
phishing,300,urgency_time,"62,33","1,31","13,84",,
phishing,300,threat_consequence,"17,67","0,71","7,45",,
phishing,300,authority_institution,"28,67","0,49","5,13",,
phishing,300,legitimacy_markers,"27,67","0,45","4,78",,
phishing,300,emotion_triggers,"11,33","0,23","2,39",,
phishing,300,credentials_account,"5,33","0,16","1,72",,
phishing,300,mfa_verification,"0,33",0,"0,04",,
phishing,300,finance_billing,"42,67","1,02","10,78",,
phishing,300,attachment_doc,"11,33","0,25","2,67",,
phishing,300,formality_politeness,"72,33","1,52","16,02",,
phishing,300,__SUMMARY__,,,,formality_politeness,cta_action
non-phishing,300,cta_action,"59,67","3,01","48,11",,
non-phishing,300,urgency_time,"28,67","0,67","10,71",,
non-phishing,300,threat_consequence,"4,67","0,07","1,12",,
non-phishing,300,authority_institution,"23,33","0,41","6,61",,
non-phishing,300,legitimacy_markers,"4,67","0,09","1,39",,
non-phishing,300,emotion_triggers,"5,67","0,06","0,96",,
non-phishing,300,credentials_account,"2,67","0,06","0,96",,
non-phishing,300,mfa_verification,"2,33","0,04","0,64",,
non-phishing,300,finance_billing,"13,67","0,32","5,06",,
non-phishing,300,attachment_doc,"11,33","0,31","4,95",,
non-phishing,300,formality_politeness,54,"1,22","19,5",,
non-phishing,300,__SUMMARY__,,,,cta_action,cta_action
manual,300,cta_action,"37,33","1,84","30,13",,
manual,300,urgency_time,45,"1,23","20,17",,
manual,300,threat_consequence,"9,67","0,17","2,84",,
manual,300,authority_institution,"11,67","0,22","3,61",,
manual,300,legitimacy_markers,"19,33","0,35","5,74",,
manual,300,emotion_triggers,"9,33","0,11","1,86",,
manual,300,credentials_account,"3,33","0,13","2,13",,
manual,300,mfa_verification,"1,33","0,01","0,22",,
manual,300,finance_billing,36,"0,93","15,31",,
manual,300,attachment_doc,16,"0,48","7,93",,
manual,300,formality_politeness,39,"0,61","10,06",,
manual,300,__SUMMARY__,,,,urgency_time,cta_action
ai,300,cta_action,"86,67","4,51","46,77",,
ai,300,urgency_time,46,"0,75","7,81",,
ai,300,threat_consequence,"12,67","0,6","6,25",,
ai,300,authority_institution,"40,33","0,68","7,05",,
ai,300,legitimacy_markers,13,"0,19","1,97",,
ai,300,emotion_triggers,"7,67","0,17","1,8",,
ai,300,credentials_account,"4,67","0,09","0,97",,
ai,300,mfa_verification,"1,33","0,03","0,31",,
ai,300,finance_billing,"20,33","0,41","4,21",,
ai,300,attachment_doc,"6,67","0,08","0,83",,
ai,300,formality_politeness,"87,33","2,13","22,04",,
ai,300,__SUMMARY__,,,,formality_politeness,cta_action
phishing_manual,150,cta_action,"42,67","2,47","28,14",,
phishing_manual,150,urgency_time,"59,33","1,57","17,87",,
phishing_manual,150,threat_consequence,"12,67","0,24","2,74",,
phishing_manual,150,authority_institution,"14,67","0,29","3,35",,
phishing_manual,150,legitimacy_markers,32,"0,55","6,31",,
phishing_manual,150,emotion_triggers,"13,33","0,17","1,9",,
phishing_manual,150,credentials_account,"5,33","0,25","2,81",,
phishing_manual,150,mfa_verification,"0,67","0,01","0,08",,
phishing_manual,150,finance_billing,"63,33","1,7","19,39",,
phishing_manual,150,attachment_doc,14,"0,4","4,56",,
phishing_manual,150,formality_politeness,68,"1,13","12,85",,
phishing_manual,150,__SUMMARY__,,,,formality_politeness,cta_action
phishing_ai,150,cta_action,86,"4,21","41,25",,
phishing_ai,150,urgency_time,"65,33","1,06","10,38",,
phishing_ai,150,threat_consequence,"22,67","1,17","11,49",,
phishing_ai,150,authority_institution,"42,67","0,68","6,66",,
phishing_ai,150,legitimacy_markers,"23,33","0,35","3,46",,
phishing_ai,150,emotion_triggers,"9,33","0,29","2,81",,
phishing_ai,150,credentials_account,"5,33","0,08","0,78",,
phishing_ai,150,mfa_verification,0,0,0,,
phishing_ai,150,finance_billing,22,"0,35","3,39",,
phishing_ai,150,attachment_doc,"8,67","0,11","1,04",,
phishing_ai,150,formality_politeness,"76,67","1,91","18,73",,
phishing_ai,150,__SUMMARY__,,,,cta_action,cta_action
