"numero","filename","class","origin","source_file","row_idx"
"2001","2001.txt","phishing","mistral-small:24b","n/d","0"
"2002","2002.txt","non-phishing","mistral-small:24b","n/d","0"
"2003","2003.txt","non-phishing","mistral-small:24b","n/d","0"
"2004","2004.txt","phishing","mistral-small:24b","n/d","0"
"2005","2005.txt","phishing","mistral-small:24b","n/d","0"
"2006","2006.txt","phishing","mistral-small:24b","n/d","0"
"2007","2007.txt","non-phishing","mistral-small:24b","n/d","0"
"2008","2008.txt","non-phishing","mistral-small:24b","n/d","0"
"2009","2009.txt","phishing","mistral-small:24b","n/d","0"
"2010","2010.txt","non-phishing","mistral-small:24b","n/d","0"
"2011","2011.txt","non-phishing","mistral-small:24b","n/d","0"
"2012","2012.txt","phishing","mistral-small:24b","n/d","0"
"2013","2013.txt","phishing","mistral-small:24b","n/d","0"
"2014","2014.txt","phishing","mistral-small:24b","n/d","0"
"2015","2015.txt","non-phishing","mistral-small:24b","n/d","0"
"2016","2016.txt","non-phishing","mistral-small:24b","n/d","0"
"2017","2017.txt","non-phishing","mistral-small:24b","n/d","0"
"2018","2018.txt","phishing","mistral-small:24b","n/d","0"
"2019","2019.txt","non-phishing","mistral-small:24b","n/d","0"
"2020","2020.txt","non-phishing","mistral-small:24b","n/d","0"
"2021","2021.txt","non-phishing","mistral-small:24b","n/d","0"
"2022","2022.txt","non-phishing","mistral-small:24b","n/d","0"
"2023","2023.txt","non-phishing","mistral-small:24b","n/d","0"
"2024","2024.txt","phishing","mistral-small:24b","n/d","0"
"2025","2025.txt","phishing","mistral-small:24b","n/d","0"
"2026","2026.txt","non-phishing","mistral-small:24b","n/d","0"
"2027","2027.txt","non-phishing","mistral-small:24b","n/d","0"
"2028","2028.txt","phishing","mistral-small:24b","n/d","0"
"2029","2029.txt","non-phishing","mistral-small:24b","n/d","0"
"2030","2030.txt","phishing","mistral-small:24b","n/d","0"
"2031","2031.txt","non-phishing","mistral-small:24b","n/d","0"
"2032","2032.txt","non-phishing","mistral-small:24b","n/d","0"
"2033","2033.txt","non-phishing","mistral-small:24b","n/d","0"
"2034","2034.txt","non-phishing","mistral-small:24b","n/d","0"
"2035","2035.txt","phishing","mistral-small:24b","n/d","0"
"2036","2036.txt","phishing","mistral-small:24b","n/d","0"
"2037","2037.txt","phishing","mistral-small:24b","n/d","0"
"2038","2038.txt","phishing","mistral-small:24b","n/d","0"
"2039","2039.txt","non-phishing","mistral-small:24b","n/d","0"
"2040","2040.txt","phishing","mistral-small:24b","n/d","0"
"2041","2041.txt","phishing","mistral-small:24b","n/d","0"
"2042","2042.txt","phishing","mistral-small:24b","n/d","0"
"2043","2043.txt","non-phishing","mistral-small:24b","n/d","0"
"2044","2044.txt","phishing","mistral-small:24b","n/d","0"
"2045","2045.txt","phishing","mistral-small:24b","n/d","0"
"2046","2046.txt","phishing","mistral-small:24b","n/d","0"
"2047","2047.txt","non-phishing","mistral-small:24b","n/d","0"
"2048","2048.txt","non-phishing","mistral-small:24b","n/d","0"
"2049","2049.txt","phishing","mistral-small:24b","n/d","0"
"2050","2050.txt","non-phishing","mistral-small:24b","n/d","0"
"2051","2051.txt","phishing","mistral-small:24b","n/d","0"
"2052","2052.txt","phishing","mistral-small:24b","n/d","0"
"2053","2053.txt","non-phishing","mistral-small:24b","n/d","0"
