numero,filename,class,origin,source_file,row_idx
0001,0001.txt,non-phishing,ai,A_L_kaggle.csv,660
0002,0002.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3715
0003,0003.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5947
0004,0004.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6277
0005,0005.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,8
0006,0006.txt,phishing,manuale,M_P_L_Nigerian_5.csv,4814
0007,0007.txt,non-phishing,ai,A_L_kaggle.csv,709
0008,0008.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,60
0009,0009.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6081
0010,0010.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,973
0011,0011.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2684
0012,0012.txt,non-phishing,ai,A_L_kaggle.csv,834
0013,0013.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1659
0014,0014.txt,non-phishing,ai,A_L_kaggle.csv,364
0015,0015.txt,phishing,manuale,M_P_Nazario.csv,247
0016,0016.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5815
0017,0017.txt,non-phishing,ai,A_L_kaggle.csv,391
0018,0018.txt,phishing,manuale,M_P_Nazario.csv,1258
0019,0019.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2730
0020,0020.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,459
0021,0021.txt,non-phishing,ai,A_L_kaggle.csv,238
0022,0022.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5201
0023,0023.txt,non-phishing,ai,A_L_kaggle.csv,864
0024,0024.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5671
0025,0025.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6103
0026,0026.txt,non-phishing,ai,A_L_kaggle.csv,796
0027,0027.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,425
0028,0028.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6168
0029,0029.txt,non-phishing,ai,A_L_kaggle.csv,714
0030,0030.txt,phishing,ai,A_P_synthetic_phish.csv,2983
0031,0031.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3288
0032,0032.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1435
0033,0033.txt,phishing,ai,A_P_synthetic_phish.csv,355
0034,0034.txt,phishing,manuale,M_P_Nazario.csv,555
0035,0035.txt,non-phishing,ai,A_L_kaggle.csv,969
0036,0036.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,309
0037,0037.txt,phishing,manuale,M_P_Nazario.csv,435
0038,0038.txt,phishing,manuale,M_P_L_Nigerian_5.csv,1858
0039,0039.txt,phishing,ai,A_P_synthetic_phish.csv,657
0040,0040.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2189
0041,0041.txt,phishing,manuale,M_P_Nazario.csv,349
0042,0042.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2387
0043,0043.txt,phishing,ai,A_P_synthetic_phish.csv,3750
0044,0044.txt,non-phishing,ai,A_L_kaggle.csv,32
0045,0045.txt,phishing,ai,A_P_synthetic_phish.csv,3156
0046,0046.txt,phishing,ai,A_P_synthetic_phish.csv,778
0047,0047.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5215
0048,0048.txt,non-phishing,ai,A_L_kaggle.csv,633
0049,0049.txt,phishing,manuale,M_P_Nazario.csv,172
0050,0050.txt,phishing,ai,A_P_synthetic_phish.csv,850
0051,0051.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,281
0052,0052.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1605
0053,0053.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,329
0054,0054.txt,phishing,manuale,M_P_Nazario.csv,1324
0055,0055.txt,phishing,manuale,M_P_Nazario.csv,1234
0056,0056.txt,phishing,manuale,M_P_Nazario.csv,81
0057,0057.txt,phishing,ai,A_P_synthetic_phish.csv,1306
0058,0058.txt,non-phishing,ai,A_L_kaggle.csv,696
0059,0059.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5397
0060,0060.txt,non-phishing,ai,A_L_kaggle.csv,851
0061,0061.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3132
0062,0062.txt,non-phishing,ai,A_L_kaggle.csv,873
0063,0063.txt,phishing,ai,A_P_synthetic_phish.csv,1907
0064,0064.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5730
0065,0065.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2324
0066,0066.txt,phishing,manuale,M_P_L_Nigerian_5.csv,4238
0067,0067.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5479
0068,0068.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6049
0069,0069.txt,phishing,manuale,M_P_L_Nigerian_5.csv,5111
0070,0070.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5327
0071,0071.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2613
0072,0072.txt,phishing,ai,A_P_synthetic_phish.csv,260
0073,0073.txt,phishing,manuale,M_P_Nazario.csv,478
0074,0074.txt,non-phishing,ai,A_L_kaggle.csv,885
0075,0075.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2247
0076,0076.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,298
0077,0077.txt,non-phishing,ai,A_L_kaggle.csv,957
0078,0078.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1174
0079,0079.txt,non-phishing,ai,A_L_kaggle.csv,756
0080,0080.txt,phishing,ai,A_P_synthetic_phish.csv,1991
0081,0081.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1740
0082,0082.txt,phishing,manuale,M_P_Nazario.csv,307
0083,0083.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,301
0084,0084.txt,phishing,manuale,M_P_Nazario.csv,614
0085,0085.txt,non-phishing,ai,A_L_kaggle.csv,483
0086,0086.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5147
0087,0087.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5614
0088,0088.txt,phishing,manuale,M_P_L_Nigerian_5.csv,4806
0089,0089.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3822
0090,0090.txt,phishing,manuale,M_P_L_Nigerian_5.csv,2424
0091,0091.txt,non-phishing,ai,A_L_kaggle.csv,175
0092,0092.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5410
0093,0093.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,5935
0094,0094.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3582
0095,0095.txt,phishing,manuale,M_P_Nazario.csv,394
0096,0096.txt,phishing,ai,A_P_synthetic_phish.csv,769
0097,0097.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,439
0098,0098.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,1033
0099,0099.txt,phishing,manuale,M_P_L_Nigerian_5.csv,3384
0100,0100.txt,phishing,ai,A_P_synthetic_phish.csv,2398
0101,0101.txt,phishing,manuale,M_P_Nazario.csv,10
0102,0102.txt,phishing,ai,A_P_synthetic_phish.csv,2106
0103,0103.txt,non-phishing,manuale,M_P_L_Nigerian_5.csv,6330
